Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Mandarin Chinese	30	Constructed by linguist	Tāmen néng zào qìchē.	他们能造汽车。	tamen neng zao qiche	3PL can make car	They can make cars.
Mandarin Chinese	31	Constructed by linguist	Nǐmen kěyǐ chùmō píngmù.	你们可以触摸屏幕。	nimen keyi chumo pingmu	2PL can touch screen	You can touch the screen.
Mandarin Chinese	32	Constructed by linguist	Bàba dǎduàn le gùnzǐ.	爸爸打断了棍子。	baba daduan-le gunzi	Dad break-PERF stick	Dad broke the stick.
Mandarin Chinese	33	Constructed by linguist	Yéye zài késòu.	爷爷在咳嗽。	yeye zai kesou	grandpa PRES cough	Grandpa is coughing.
Mandarin Chinese	34	Constructed by linguist	Fángzi hái zài ránshāo.	房子还在燃烧。	fangzi hai zai ranshao	house still PRES burn	The house is still burning.
Mandarin Chinese	35	Constructed by linguist	Tóngxuémen zhèng zài páshān.	同学们正在爬山。	tongxue-men zheng zai pa shan	classmate-PL right.now PRES climb mountain	The classmates are climbing the mountain.
Mandarin Chinese	36	Constructed by linguist	Yéye gěi Xiǎomíng dàilái le yīzhī xiǎo báitù.	爷爷给小明带来了一只小白兔。	yeye gei Xiaoming dailai le yi-zhi xiao bai-tu	grandpa to Xiaoming bring PERF one-CL little white-rabbit	Grandpa brought a little white rabbit to Little Ming.
Mandarin Chinese	37	Constructed by linguist	Mèimei zài kū.	妹妹在哭。	meimei zai ku	younger.sister PRES cry	My younger sister is crying.
Mandarin Chinese	38	Constructed by linguist	Wǒ gǎndào téng.	我感到疼。	wo gandao teng	1SG feel pain	I feel painful.
Mandarin Chinese	39	Constructed by linguist	Tā chángcháng xià wǒ.	他常常吓我。	ta changchang xia wo	3SG often frighten 1SG	He often frightens me.
Mandarin Chinese	40	Constructed by linguist	Wǒ gěi le tā yīxiē qián.	我给了她一些钱。	wo gei-le ta yixie qian	1SG give-PERF 3SG some money	I gave her some money.
Mandarin Chinese	41	Constructed by linguist	Tā yòng gùnzi dǎ wǒ.	他用棍子打我。	ta yong gunzi da wo	3SG use stick hit 1SG	He hit me with a stick.
Mandarin Chinese	42	Constructed by linguist	Wǔ Sōng shā le yīzhī lǎohǔ.	武松杀了一只老虎。	Wu Song sha-le yi-zhi laohu	Wu Song kill-PERF one-CL tiger	Wu Song killed a tiger.
Mandarin Chinese	43	Constructed by linguist	Wǒ zhīdào nǐde míngzì.	我知道你的名字。	wo zhidao nide mingzi	1SG know your name	I know your name.
Mandarin Chinese	44	Constructed by linguist	Háizi zài xiào.	孩子在笑。	haizi zai xiao	kid PRES laugh	The kid is laughing.
Mandarin Chinese	45	Constructed by linguist	Gōngrénmen zài jiànzào qiáoliáng.	工人们在建造桥梁。	gongren-men zai jianzao qiaoliang	worker-PL PRES build bridge	The workers are building a bridge.
Mandarin Chinese	46	Constructed by linguist	Jǐngchá kěyǐ xiédài qiāngzhī.	警察可以携带枪支。	jingcha keyi xiedai qiangzhi	policeman may carry gun	Policemen may carry guns.
Mandarin Chinese	47	Constructed by linguist	Nǐ píngshí zìjǐ zhǔ fàn ma?	你平时自己煮饭吗？	ni pingshi ziji zhu fan ma	2SG in.normal.times self cook meal Q	Do you ordinarily cook meals yourself?
Mandarin Chinese	48	Constructed by linguist	Nǎinai zài wā tǔdòu.	奶奶在挖土豆。	nainai zai wa tudou	grandma PRES dig potato	Grandma is digging for potatoes.
Mandarin Chinese	49	Constructed by linguist	Yèzǐ luò le.	叶子落了。	yezi luo-le	leaf fall-PERF	The leaves fell.
Mandarin Chinese	50	Constructed by linguist	Wǒ gǎndào lěng.	我感到冷。	wo gandao leng	1SG feel cold	I feel cold.
Mandarin Chinese	51	Constructed by linguist	Xiǎo nánhái gēnzhe tā fùqin.	小男孩跟着他父亲。	xiao nan-hai genzhe ta fuqin	little male-child follow 3SG father	The little boy followed his father.
Mandarin Chinese	52	Constructed by linguist	Jiùjiu yòng shíniǎn mò huángdòu.	舅舅用石碾磨黄豆。	jiujiu yong shinian mo huangdou	uncle use stone.mill grind soybean	Uncle ground the soybeans with a stone mill.
Mandarin Chinese	53	Constructed by linguist	Nǐ yīnggāi bāngzhù tā.	你应该帮助他。	ni yinggai bangzhu ta	2SG should help 3SG	You should help him.
Mandarin Chinese	54	Constructed by linguist	Tā zài cāochǎngshàng tiào.	他在操场上跳。	ta zai caochang-shang tiao	3SG PREP playground-top jump	He jumps on the playground. / He is jumping on the playground.
Mandarin Chinese	55	Constructed by linguist	Nǐ zài cáng shénme?	你在藏什么？	ni zai cang shenme	2SG PRES hide what	What are you hiding?
Mandarin Chinese	56	Constructed by linguist	Wǒ xiàgè yuè líkāi Běijīng (qù Shēnzhèn).	我下个月离开北京（去深圳）。	wo xia-ge yue likai Beijing (qu Shenzhen)	1SG next-CL month leave Beijing (go.to Shenzhen)	I will leave Beijing (for Shenzhen) next month.
Mandarin Chinese	57	Constructed by linguist	Wǒ xǐhuān Shànghǎi.	我喜欢上海。	wo xihuan Shanghai	1SG like Shanghai	I like Shanghai.
Mandarin Chinese	58	Constructed by linguist	Yéye jūzhù zài Shànghǎi.	爷爷居住在上海。	yeye juzhu zai Shanghai	grandpa live PREP Shanghai	Grandpa lives in Shanghai.
Mandarin Chinese	59	Constructed by linguist	Gōngrén men wǎng kǎchē shàng zhuāng gàncǎo.	工人们往卡车上装干草。	gongren-men wang kache-shang zhuang gancao	worker-PL PREP truck-LOC load hay	The workers loaded hay onto the truck.
Mandarin Chinese	60	Constructed by linguist	Zuótiān wǒ zài jīchǎng pèngjiàn le Xiǎo Lì.	昨天我在机场碰见了小丽。	zuotian wo zai jichang pengjian le Xiao Li	yesterday 1SG PREP airport meet PERF Xiao Li	I met Xiao Li yesterday at the airport.
Mandarin Chinese	61	Constructed by linguist	Qǐng gěi wǒ xiāo liǎnggè píngguǒ.	请给我削两个苹果。	qing gei wo xiao liang-ge pingguo	please for 1SG peel two-CL apple	Please peel two apples for me.
Mandarin Chinese	62	Constructed by linguist	Dìdi zài cāochǎng shàng wán (pí qiú).	弟弟在操场上玩（皮球）。	didi zai caochang-shang wan (piqiu)	younger.brother PREP playground-LOC play (ball)	My younger brother is playing (ball) on the playground.
Mandarin Chinese	63	Constructed by linguist	Wǒmen bǎ mǎ shuān zài shuānzhuāng shàng.	我们把马拴在拴桩上。	women ba ma shuan zai shuanzhuang-shang	1PL BA horse tie PREP hitching.post-LOC	We tied the horses to the hitching posts.
Mandarin Chinese	64	Constructed by linguist	Tā bǎ nà běn shū fàng zài shūjià shàng le.	他把那本书放在书架上了。	ta ba na-ben shu fang zai shujia-shang le	3SG BEI that-CL book put PREP bookshelf-LOC PERF	He put that book on the bookshelf.
Mandarin Chinese	65	Constructed by linguist	Nǎinai zuò zài shāfā shàng.	奶奶坐在沙发上。	nainai zuo zai shafa-shang	grandma sit PREP sofa-LOC	Grandma sat on the sofa.
Mandarin Chinese	66	Constructed by linguist	Tā (zài wǒ shēnbiān) zuòxià.	他（在我身边）坐下。	ta (zai wo shenbian) zuoxia	3SG (PREP 1SG side) sit.down	He sat down (at my side).
Mandarin Chinese	67	Constructed by linguist	Qiú zài dìshàng gǔn.	球在地上滚。	qiu zai di-shang gun	ball PREP ground-LOC roll	The ball is rolling on the ground.
Mandarin Chinese	68	Constructed by linguist	Tā tōu le Lǎo Lǐ de sāntóu niú.	他偷了老李的三头牛。	ta tou-le Lao Li de san-tou niu	3SG steal-PERF Lao Li POSS three-CL cow	He stole three cows from Lao Li. / He stole Lao Li's three cows.
Mandarin Chinese	69	Constructed by linguist	Xià yǔ le.	下雨了。	xiayu le	rain PRES	It is raining.
Mandarin Chinese	70	Constructed by linguist	Lǎo Liú (cóng lǎobǎn nǎér) dédào le yīdài mǐ .	老刘（从老板哪儿）得到了一袋米。	Lao Liu (cong laoban naer) dedao-le yi-dai mi	old Liu (from boss there) get-PERF one-CL rice	Old Liu got a bag of rice (from his boss).
Mandarin Chinese	71	Constructed by linguist	Gēge duì māma shuō ：“wǒ yě xiǎng qù”.	哥哥对妈妈说：“我也想去”。	gege dui mama shuo wo ye xiang qu	elder.brother to Mom say 1SG also want go	My elder brother said to Mom, "I want to go, too"."
Mandarin Chinese	72	Constructed by linguist	Liú lǎoshī gēn Lǐ lǎoshī zài tánhuà.	刘老师跟李老师在谈话。	Liu laoshi gen Li laoshi zai tanhua	Liu Mr and Li Mr PRES talk	Mr Liu and Mr Li are talking.
Mandarin Chinese	73	Constructed by linguist	Xiǎo mǎ zài pǎo.	小马在跑。	Xiao Ma zai pao	Xiao Ma PRES run	Xiao Ma is running.
Mandarin Chinese	74	Constructed by linguist	Tā cāqù le zhuōzǐshàng de zì.	她擦去了桌子上的字。	ta caqu-le zhuozi shang de zi	3SG wipe-PERF table LOC POSS words	She wiped the words off the table.
Mandarin Chinese	75	Constructed by linguist	Tóngxuémen dàshēng gēchàng.	同学们大声歌唱。	tongxue-men dasheng gechang	classmate-PL loudly sing	The classmates sang loudly.
Mandarin Chinese	76	Constructed by linguist	Huàjiā (xiàng wǒmen) zhǎnshì tā de zuòpǐn.	画家（向我们）展示他的作品。	huajia (xiang women) zhanshi ta-de zuopin	painter (to 1PL) show 3SG-POSS painting	The painter is showing his paintings (to us).
Mandarin Chinese	77	Constructed by linguist	Wǒ zuótiān gěi tā fā le yīfēng diànzǐyóujiàn.	我昨天给他发了一封电子邮件。	wo zuotian gei ta fa-le yi-feng dianziyoujian	1SG yesterday to 3SG send-PERF one-CL email	I sent an email to him yesterday.
Mandarin Chinese	78	Constructed by linguist	Xiǎo gūniang yòu zài jiānjiào.	小姑娘又在尖叫。	xiao-guniang you zai jianjiao	little-girl again PRES scream	The little girl is screaming again.
Mandarin Chinese	79	Constructed by linguist	Jūnjiàn bèi mìngmíng wéi Wǔhànhào.	军舰被命名为武汉号。	junjian bei mingming wei Wuhanhao	warship BEI name be Wuhanhao	The warship is named Wuhanhao.
Mandarin Chinese	80	Constructed by linguist	Bàba zài guā húzi.	爸爸在刮胡子。	baba zai gua huzi	Dad PRES shave beard	Dad is shaving his beard.
Mandarin Chinese	81	Constructed by linguist	Wǒ yòng shuǐ zhuāngmǎn le shuǐtǒng.	我用水装满了水桶。	wo yong shui zhuangman-le shuitong	1SG use water fill-PERF pail	I filled the pail with water.
Mandarin Chinese	82	Constructed by native speaker linguist	*Fángzi bèi tāmen shāo le.	房子被他们烧了。	*fangzi bei tamen shao-le	house BEI they burn-PERF	The house was burnt by them.
Mandarin Chinese	83	Constructed by linguist	Wǒ bǎ fàn zhǔ hǎo le.	我把饭煮好了。	wo ba fan zhu-hao-le	1SG BA rice cook-ready-CRS	I have cooked the rice.
Mandarin Chinese	84	Constructed by linguist	Wǒ qiē le ròu.	我切了肉。	wo qie-le rou	1SG cut-PERF meat	I cut the meat.
Mandarin Chinese	85	Constructed by linguist	Wǒ bǎ ròu qiē le.	我把肉切了。	wo ba rou qie-le	1SG BA meat cut-PERF	I have cut the meat.
Mandarin Chinese	86	Constructed by linguist	Tāmen bǎ nàzuò lǎofén wā le.	他们把那座老坟挖了。	tamen ba na-zuo laofen wa-le	3PL BA that-CL old.tomb dig-PERF	They have dug up that old tomb.
Mandarin Chinese	87	Constructed by linguist	Wǒ kànjiàn-le nèige lǎohǔ.	我看见了那个老虎。	wo kanjian-le neige laohu	1SG see-PERF that tiger	I saw that tiger.
Mandarin Chinese	88	Constructed by linguist	Tā shì (yī)gè lièrén.	他是(一)个猎人。	ta shi (yi-)ge lieren	3SG be (one-)CL hunter	He is a hunter.
Mandarin Chinese	89	Constructed by linguist	Yīngér de jiǎo bèi wǒ pāidǎ le jǐxià.	婴儿的脚被我拍打了几下。	yinger-de jiao bei wo paida-le jixia	baby-POSS foot BEI 1SG beat-PERF several.times	The baby's foot was beaten several times by me.
Mandarin Chinese	90	Constructed by linguist	Píngmù bèi rén chùmō guò.	屏幕被人触摸过。	pingmu bei ren chumo-guo	screen BEI somebody touch-PERF	The screen has been touched (by somebody).
Mandarin Chinese	91	Constructed by linguist	Qiáo yǐjīng bèi jiànhǎo le.	桥已经被建好了。	qiao yijing bei jian-hao-le	bridge already BEI build-ready-PERF	The bridge has been built already.
Mandarin Chinese	92	Constructed by linguist	Wǒ yòng dāo qiē ròu.	我用刀切肉。	wo yong dao qie rou	1SG use knife cut meat	I cut meat with a knife.
Mandarin Chinese	93	Constructed by linguist	Ròu yǐjīng bèi Lǎo Lǐ qiē le.	肉已经被老李切了。	rou yijing bei Lao Li qie-le	meat already BEI Old Li cut-PERF	The meat has been cut by Old Li.
Mandarin Chinese	94	Constructed by linguist	Wǒ qù le Běijīng.	我去了北京。	wo qu-le Beijing	1SG go-PERF Beijing	I went (to Beijing).
Mandarin Chinese	95	Constructed by linguist	Nà jǐgè zì yǐjīng bèi tā cādiào le.	那几个字已经被他擦掉了。	na ji-ge zi yijing bei ta cadiao-le	that several-CL character already BEI 3SG wipe.off-PERF	Those characters have already been wiped off by him.
Mandarin Chinese	96	Constructed by linguist	Tā zǒngshì bèi yīdàqún rén gēnzhe.	他总是被一大群人跟着。	ta zongshi bei yi-da-qun ren gen-zhe	3SG always PASS one-large-crowd people follow-APPL	He is always followed by a large crowd of people.
Mandarin Chinese	97	Constructed by linguist	Wǒ tīngjiàn le qiāngshēng.	我听见了枪声。	wo tingjian-le qiangsheng	1SG hear-PERF gunshot	I heard the gunshot.
Mandarin Chinese	98	Constructed by linguist	Yuánzǐdàn bèi tāmen zào chūlái le.	原子弹被他们造出来了。	yuanzidan bei tamen zao-chulai-le	atomic.bomb BEI 3PL make-out-PERF	An A-bomb has been made by them.
Mandarin Chinese	99	Constructed by linguist	Tā zài gài zhuōzi	他在盖桌子。	ta zai gai zhuozi	3SG PRES cover table	He is covering the table.
Mandarin Chinese	100	Constructed by linguist	Nǐ qù bǎ zhuōzi gàiqǐlái.	你去把桌子盖起来。	ni qu ba zhuozi gai-qilai	2SG go BA table cover-APPL	Please cover the table.
Mandarin Chinese	101	Constructed by linguist	Zhuōzi yǐjīng bèi tā gài qǐlái le.	桌子已经被他盖起来了。	zhuozi yijing bei ta gai-qilai le	table already BEI 3SG cover-APPL PERF	The table has been covered by him.
Mandarin Chinese	102	Constructed by linguist	Lǎo shī zài tuī yīgè xiāngzǐ.	老师在推一个箱子。	laoshi zai tui yi-ge xiangzi	teacher PRES push one-CL box	The teacher is pushing a box.
Mandarin Chinese	103	Constructed by linguist	Píngguǒ yǐjīng bèi tā xiāo le (pí).	苹果已经被他削了（皮）。	pingguo yijing bei ta xiao-le (pi)	apple already BEI 3SG peel-PERF (skin)	The apple has been peeled by him.
Mandarin Chinese	104	Constructed by linguist	Māma wǎng shuǐtǒng lǐ dǎoshuǐ.	妈妈往水桶里倒水。	mama wang shuitong-li dao shui	Mom into pail-inside pour water	Mom poured water into the pail.
Mandarin Chinese	105	Constructed by linguist	Huángdòu zǎo yǐjīng bèi jiùjiu mòhǎo le.	黄豆早已经被舅舅磨好了。	huangdou zao yijing bei jiujiu mo-hao-le	soybean early already BEI uncle grind-ready-PERF	The soybean has already been ground by my uncle.
Mandarin Chinese	106	Constructed by linguist	Xiányífàn yǐjīng bèi sōuxún le duōcì.	嫌疑犯已经被搜寻了多次。	xianyifan yijing bei souxun-le duo-ci	suspect already BEI search.for-PERF many-time	The suspect has been searched for for many times.
Mandarin Chinese	107	Constructed by linguist	Tā bǎ piào sī le.	他把票撕了。	ta ba piao si-le	3SG BA ticket tear-PERF	He tore the ticket.
Mandarin Chinese	108	Constructed by native speaker linguist	Tā zhèngzài chuān yīfu.	他正在穿衣服。	tā zhèngzài chuān yīfu	3SG now.PRES put.on clothes	He is putting on his clothes. / He is dressing himself.
Mandarin Chinese	109	Constructed by native speaker linguist	Xìnghǎo nǐ méiyǒu bèi biéren kànjiàn.	幸好你没有被别人看见。	xinghao ni meiyou bei bie-ren kanjian	luckily 2SG not BEI other-people see	Luckily, you were not seen by other people."
Mandarin Chinese	110	Constructed by native speaker linguist	Xiǎogǒu pǎojìnlái bǎ zhěnggè fángjiān wénle yībiàn.	小狗跑进来把整个房间闻了一遍。	xiaogou pao-jinlai ba zhengge fangjian wen-le yi-bian	little.dog run-in BA whole room smell-PERF one-CL	The little dog ran in and smelled the whole room once.
Mandarin Chinese	111	Constructed by native speaker linguist	Wǒ gāng jìn fángjiān jìu bèi xiǎogǒu shàngshàngxiàxià wénle yībiàn.	我刚进房间就被小狗上上下下闻了一遍。	wo gang jin fangjian jiu bei xiaogou shangshangxiaxia wen-le yi-bian	1SG just enter room right BEI little.dog thoroughly smell-PERF one-CL	Right after I entered the room the little dog thoroughly smelled me once.
Mandarin Chinese	112	Constructed by native speaker linguist	Zhèzhǒng xiāngshuǐ wénqǐlái ràng wǒ tóuyūn.	这种香水闻起来让我头晕。	zhe-zhong xiangshui wen-qilai rang wo touyun	this-type perfume smell-APPL make 1SG dizzy	This type of perfume smells in such a way that it makes me feel dizzy.
Mandarin Chinese	113	Constructed by native speaker linguist	Nǐ bǎ zhège wèntí xiǎng fùzá le.	你把这个问题想复杂了。	ni ba zhe-ge wenti xiang-fuza-le	2SG BA this-CL problem think-complicated-PERF	You have taken the problem in a complicated way. / You thought about the problem in such a way that it is made too complicated.
Mandarin Chinese	114	Constructed by native speaker linguist	Zhège wèntí bèi nǐ xiǎng fùzá le.	这个问题被你想复杂了。	zhe-ge wenti bei ni xiang-fuza-le	this-CL problem BEI 2SG think-complicated-PERF	The problem has been thought about in a complcated way. / You have thought about the problem in such a way that it is made two complicated.
Mandarin Chinese	115	Constructed by native speaker linguist	Zhèzhǒng shùxué wèntí xiǎngzhe ràng rén tóu téng.	这种数学问题想着让人头疼。	zhe-zhong shuxue wenti xiang-zhe rang ren tou teng	this-CL maths problem think-APPL make one head ache	It is a headache for one to think about this kind of maths problem. / This kind of maths problem is so hard to think about that it causes headache to people.
Mandarin Chinese	116	Constructed by native speaker linguist	Wǒ qù bǎ tā yào huílái.	我去把它要回来。	wo qu ba ta yao huilai	1SG go BA 3SG ask.for come.back	I will ask for it and get it back.
Mandarin Chinese	117	Constructed by native speaker linguist	Fángzi yǐjīng bèi tā māma yào huíláile.	房子已经被她妈妈要回来了。	fangzi yijing bei ta mama yao huilai le	house already PASS 3SG Mom ask.for come.back PERF	The house has been asked for and taken back by his Mom.
Mandarin Chinese	118	Constructed by native speaker linguist	Yéye yàole gōngsī liǎngjiān fáng.	爷爷要了公司两间房。	yeye yao-le gongsi liang-jian fang	grandpa ask.for-PERF company two-CL room	Grandpa has asked for two rooms from the company.
Mandarin Chinese	119	Constructed by native speaker linguist	Xiàng zhèzhǒng dōngxī yàoqǐlái kě bùróngyì.	像这种东西要起来可不容易。	xiang zhe-zhong dongxi yao-qilai ke burongyi	like this-kind thing ask.for-APPL very uneasy	It is very hard to ask for this kind of things.
Mandarin Chinese	120	Constructed by native speaker linguist	Yīzhī lǎohǔ chūxiàn zài cūnzi lǐ.	一只老虎出现在村子里。	yi-zhi laohu chuxian zai cunzi-li	one-CL tiger appear in village-inside	A tiger appeared in the village.
Mandarin Chinese	121	Constructed by native speaker linguist	Tā èle sāntiān.	他饿了三天。	ta e-le san-tian	3SG hungry-PERF three-day	He remained hungry for three days. / He didn't eat anything for three days.
Mandarin Chinese	122	Constructed by native speaker linguist	*Díren bǎ tā èle.	*敌人把他饿了。	diren ba ta e-le	enemy BA 3SG hungry-PERF	Lit. The enemy made him hungry. / The enemy starved him.
Mandarin Chinese	123	Constructed by native speaker linguist	*Tā bèi díren èle.	*他被敌人饿了。	ta bei diren e-le	3SG PASS enemy hungry-PERF	He was starved by the enemy.
Mandarin Chinese	124	Constructed by native speaker linguist	Bìngren bǎ zìjǐ de bèibù pāidǎ huài le.	病人把自己的背部拍打坏了。	bingren ba ziji de beibu paida huai-le	patient BA self DE back beat broken-PERF	The patient beat his back in such a way that something has gone wrong with his back. / The patient hurt his own back by beating it in the wrong way.
Mandarin Chinese	125	Constructed by native speaker linguist	Bìngren de bèibù bèi tā zìjǐ pāidǎ huài le.	病人的背部被他自己拍打坏了。	bingren de beibu bei ta ziji paida huai-le	patient DE back BEI him self beat wrong-PERF	The patient's back was hurt because of his own wrong beating of it.
Mandarin Chinese	126	Constructed by native speaker linguist	Shēntǐ de zhègè bùfen pāidǎ qǐlái zuì máfan.	身体的这个部分拍打起来最麻烦。	shenti de zhe-ge bufen paida-qilai zui mafan	body DE this-CL part beat-APPL most troublesome	It is least easy to beat this part of your body. / It is most uneasy to beat this part of human body.
Mandarin Chinese	127	Constructed by native speaker linguist	Zhèzhǒng nítǔ wāqǐlái hěn fèilìqì.	这种泥土挖起来很费力气。	zhe-zhong nitu wa-qilai hen fei-liqi	this-CL soil dig-APPL very consume-energy	It is very energy-consuming to dig through this kind of soil.
Mandarin Chinese	128	Constructed by native speaker linguist	Tājiā dê zǔfén bèi rén wā le.	他家的祖坟被人挖了。	ta-jia de zu-fen bei ren wa-le	his-family DE ancestor-tomb BEI others dig-PERF	His ancestral grave has been dug by someone.
Mandarin Chinese	129	Constructed by native speaker linguist	Ròu yǐjīng bèi wǒ qiē hǎo le.	肉已经被我切好了。	rou yijing bei wo qie hao le	meat already PASS 1SG cut ready PERF	I have cut the meat (and made it ready for cooking).
Mandarin Chinese	130	Constructed by native speaker linguist	Zhèbǎ dāo qiēqǐlái hěn shěnglì.	这把刀切起来很省力。	zhe-ba dao qie-qilai hen shengli	this-CL knife cut-APPL very energy.saving	It is energy-saving to cut with this knife.
Mandarin Chinese	131	Constructed by native speaker linguist	Wǒmen bǎ shuǐtǒng zhuāngmǎn le shuǐ.	我们把水桶装满了水。	women ba shuitong zhuangman-le shui	1PL BA pail fill-PERF water	We filled the pail with water.
Mandarin Chinese	132	Constructed by native speaker linguist	Shuǐtǒng bèi wǒmen zhuāngmǎn le shuǐ.	水桶被我们装满了水。	shuitong bei women zhuangman-le shui	pail BEI 1PL load/stuff-PERF water	The pail was filled with water by us.
Mandarin Chinese	133	Constructed by native speaker linguist	Shuǐtǒng zhuāngmǎnle shuǐ.	水桶装满了水。	shuitong zhuangman-le shui	pail fill-PERF water	The pail is filled with water. / The pail is full with water.
Mandarin Chinese	134	Constructed by native speaker linguist	Shuǐ zhuāngmǎnle shuǐtǒng.	水装满了水桶。	shui zhuangman-le shuitong	water fill-PERF pail	The water fills up the pail. / The pail is full of water.
